title,time,author,sent,label
上市了！草莓柑橘价格下降，冰糖草莓要不要来一串？,2020/3/9 20:19,上海杨浦,据摊主介绍，沃柑最贵的时候卖到18元一斤，但随着大批量上市，价格普遍下调了，现在12元就能买到。,1
2020年3月19日全国各地柑橘价格行情分享！,2020/3/19 17:27,柑露果服,2、四川东坡、彭山、蒲江、仁寿等地的春见价格行情略涨，鲜果货源减少，近期价格行情为4.5~5.5元/斤左右，精品果价格高于5元/斤。,1
2020年3月19日全国各地柑橘价格行情分享！,2020/3/19 17:27,柑露果服,随着柑橘货源减少，预计后期各柑橘品种的价格会稳中稍涨。,1
2020年1月2日全国各地柑橘价格行情分享：少量沃柑已上市，价格行情不错！,2020/1/2 17:40,柑露果服,近日，随着砂糖橘大量上市，货源不断增多，导致终端市场销售缓慢，各地产区销售压力大，果农积极卖果。,0
2020年1月16日全国各地柑橘价格行情分享：部分产地传来砂糖橘价格上涨的喜讯！,2020/1/16 17:38,柑露果服,临近春节，各地砂糖橘产区传来价格上涨的消息，砂糖橘进入销售黄金期，各地货源多，收购商增多，农户也积极卖果。,1
2020年1月16日全国各地柑橘价格行情分享：部分产地传来砂糖橘价格上涨的喜讯！,2020/1/16 17:38,柑露果服,听群里的朋友分享一些产地的砂糖橘价格，价格确实上涨一点。,1
今年柑橘价格如何？一张图告诉你！,2020/6/2 11:27,柑橘信息网,近几年随着柑橘果品价格的走高，亩产值10万元、100元/斤果的传奇的出现，引发各地开启疯狂发展模式，各领域资本进入，颇有全民种橘的味道，同时质疑、责问、警防过剩过滥的呼声不绝于耳。,1
今年柑橘价格如何？一张图告诉你！,2020/6/2 11:27,柑橘信息网,2017年秋季南方多处柑橘主产区遭受了长时间降雨危害，南丰蜜橘、普通温州蜜橘烂在树上无人采收，亚洲最早熟蜜橘基地云南华宁县，均价从往年的4-5元/斤，跌到1元多，广西砂糖橘收购价从往年5元上下到1块多，惜售的只有倒掉，砂糖橘变“杀人橘”，很多业主逃离此行业。,0
今年柑橘价格如何？一张图告诉你！,2020/6/2 11:27,柑橘信息网,2018年是柑橘大年，同样没有逃出丰产不丰收的命运，南方8-10月连续阴雨，早熟柑橘果子糖度低、着色差、不耐贮运，基本处于保本、微利状态。,0
今年柑橘价格如何？一张图告诉你！,2020/6/2 11:27,柑橘信息网,而早来的霜冻危害更是雪上加霜，桂北、赣中、赣北、湘西、湘西北地区中晚熟品种在12月受冻严重，30%以上失去商品价值。,0
今年柑橘价格如何？一张图告诉你！,2020/6/2 11:27,柑橘信息网,十年一轮回的低温灾害天气，,0
2020年3月12日全国各地柑橘价格行情分享：部分柑橘价格上涨！,2020/3/12 21:47,柑橘之家技术产业联盟,具体价格行情如下图所示：随着天气回暖，预计后期各柑橘品种的价格会稳中稍涨，价格行情会慢慢变好。,1
西班牙柑橘价格上涨,2020/3/24 16:45,果评家,目前，受新冠病毒疫情以及天气影响，西班牙柑橘供应压力变大，柑橘价格每公斤上涨20美分。,1
西班牙柑橘价格上涨,2020/3/24 16:45,果评家,所有市场的需求都在增加，对葡萄柚、柠檬和橙子的需求特别高。,1
西班牙柑橘价格上涨,2020/3/24 16:45,果评家,如果疫情和天气不能好转，西班牙柑橘以及其它水果价格可能会继续上涨。,1
柑橘行情分享 | 多地产区货源增多，价格下滑了么？,2020/11/19 18:28,柑露果服,特早熟地区百色西林也有少量的柑橘上市，价格在3.3~3.6元/斤，价格不稳定，价格有所下滑。,0
重磅：市场释放重要信号，今年柑橘价格或迎来上涨！,2020/6/9 11:27,柑橘信息网,北美：市场对橙子的需求达到高峰北美对橙子的需求正在急剧上升，这很可能与目前开始在欧洲大陆存在的特殊情况有关。,1
2020年8月柑橘价格最新行情,2020/8/12 11:40,柑橘信息网,但在经历了近两年的低迷行情后，今年柑橘价格仍然不乐观。,0
2020年8月柑橘价格最新行情,2020/8/12 11:40,柑橘信息网,伴随着产量下降，但蜜桔价格并没有上涨，反而出现了下降。,0
2020年8月柑橘价格最新行情,2020/8/12 11:40,柑橘信息网,据中国农业科学院柑橘研究所专家介绍，未来3到4年间国内柑橘市场仍然以过剩为主，如果没有大的自然灾害发生，未来几年年柑橘整体价格将持续下降。,0
​现在柑橘多少钱一斤？八大产区柑橘价格一览表！8月柑橘市场最新行情分析,2020/8/7 12:11,柑橘信息网,伴随着产量下降，但蜜桔价格并没有上涨，反而出现了下降。,0
​现在柑橘多少钱一斤？八大产区柑橘价格一览表！8月柑橘市场最新行情分析,2020/8/7 12:11,柑橘信息网,导致这一行情的主要原因还是市场上柑橘存货较多，晚熟柑橘通过冷库保鲜销售时间大大延长了，由于其口感更好，对早熟蜜桔的销售造成了直接的影响。,0
​现在柑橘多少钱一斤？八大产区柑橘价格一览表！8月柑橘市场最新行情分析,2020/8/7 12:11,柑橘信息网,另外，今年，整体水果市场的走低，也对早熟蜜桔的行情造成负面影响。,0
​现在柑橘多少钱一斤？八大产区柑橘价格一览表！8月柑橘市场最新行情分析,2020/8/7 12:11,柑橘信息网,据中国农业科学院柑橘研究所专家介绍，未来3到4年间国内柑橘市场仍然以过剩为主，如果没有大的自然灾害发生，未来几年年柑橘整体价格将持续下降。,0
南方柑橘价格的急速下跌，苹果价格有望迎来继续上涨,2020/10/18 20:50,西北果业信息,目前收假没多久，不少地区的柑橘就已经飞速下降，成交价比10月4日之前低了很多。,0
南方柑橘价格的急速下跌，苹果价格有望迎来继续上涨,2020/10/18 20:50,西北果业信息,南丰蜜桔地头价低至1元/斤左右，而贡柑好果也只有2.5元/斤左右。,0
南方柑橘价格的急速下跌，苹果价格有望迎来继续上涨,2020/10/18 20:50,西北果业信息,价格的急速下跌不免让人担忧，今年柑橘行情又是一个低价年。,0
南方柑橘价格的急速下跌，苹果价格有望迎来继续上涨,2020/10/18 20:50,西北果业信息,春季多雨影响花芽分化，今年四川地区的春见花量整体偏低，同时广西，江西和福建等主产区因暴雨发生严重洪涝灾害，由于雨水偏多，导致了柑橘果实转色慢，也无法积累大量糖分，因此今年部分产区感觉口感、品质均次于往年。,0
南方柑橘价格的急速下跌，苹果价格有望迎来继续上涨,2020/10/18 20:50,西北果业信息,数量暴增，行情低迷，口感差。,0
南方柑橘价格的急速下跌，苹果价格有望迎来继续上涨,2020/10/18 20:50,西北果业信息,今年柑橘行情迷茫......南方水果价格低迷将对苹果市场形成重大利好。,0
南方柑橘价格的急速下跌，苹果价格有望迎来继续上涨,2020/10/18 20:50,西北果业信息,而南方柑橘类当前行情低迷。,0
2020年11月份柑橘价格分析,2020/11/11 00:00,柑橘联网,目前多个柑橘品种逐渐成熟上市，从目前的市场反馈看来，柑橘中的晚熟品种在节前，尤其是元旦和春节上市的，价格将会有一定涨幅，其他时间则可能因集中上市，价格偏低。,1
2020年11月份柑橘价格分析,2020/11/11 00:00,柑橘联网,微信搜一搜：柑橘联网NO.1砂糖橘、杂柑2020年砂糖橘和杂柑产量有所增加，供大于求，且受疫情影响，目前价格有所下降，砂糖橘价格3~6元/kg，杂柑中的沃柑价格8~10元/kg。,0
柑橘行情分享 l 砂糖橘、沃柑货源增多，价格波动大么？,2020/12/17 20:18,柑露果服,砂糖橘价格行情分享从西林砂糖橘官宣开市日11月20日算起，上市时间还不到一个月，西林的砂糖橘从开市价的4元/斤跌到现在的2元/斤左右，其他产地的砂糖橘跌到了1.9元/斤左右，桂林是最大的砂糖橘产区，查资料得知荔浦和永福的优质果还能维持在2.3~2.6元/斤的价格。,0
柑橘行情分享 l 砂糖橘、沃柑货源增多，价格波动大么？,2020/12/17 20:18,柑露果服,皇帝柑价格行情分享皇帝柑上市尾期，广西部分产地与广东韶关地区的皇帝柑价格，相对上周各产地价格都略微下降，例如贺州的好果价格在1.4~1.5元/斤左右，桂林地区的好果价格在1.4~1.5元/斤左右，广东韶关皇帝柑价格平稳，一般果的价格为：1.6元/斤。,0
减产和降质过后，今年的柑橘价格大涨吗？,2020/6/21 11:30,柑橘信息网,以砂糖橘为例，去年种植面积达到历史新高，加上与其他晚熟柑橘的上市时间重叠，所以导致去年砂糖桔市场行情的低迷。,0
减产和降质过后，今年的柑橘价格大涨吗？,2020/6/21 11:30,柑橘信息网,在主产区产量、品质均下降和今年水果价格整体走高的双重影响下，柑橘价格企稳回升几成定局，特别是对于早熟柑橘而言，今年会卖一个好价钱。,1
减产和降质过后，今年的柑橘价格大涨吗？,2020/6/21 11:30,柑橘信息网,柑橘自身品种较多，上市持续时间较长，会有激烈的内部竞争，很难形成柑橘价格整体走高的态势。,0
广西柑橘销售遭遇“严冬”，全国柑橘价格行情！,2020/3/9 18:59,森象农业俱乐部,2019年12月10日，蓝勇家的砂糖橘提前10天成熟，刚开始的批发价达7.2元/公斤，可随着其他产区的果不断上市，虽然价格一路走低，但平均价格也有2.6-3元/公斤。,0
广西柑橘销售遭遇“严冬”，全国柑橘价格行情！,2020/3/9 18:59,森象农业俱乐部,随着市场饱和，柑橘连续两年价跌，特别是2019末到2020春节的新冠肺炎疫情，加剧了销售困难，半数以上果品售价跌至成本线。,0
今年放开摆地摊，柑橘价格会下降吗？果农受益吗？,2020/8/14 23:14,柑桔之家,整个价格低了一倍。,0
今年放开摆地摊，柑橘价格会下降吗？果农受益吗？,2020/8/14 23:14,柑桔之家,因为摆地摊可以是附近的农民直接来摆地摊卖水果，成本降低是必然的。,0
今年放开摆地摊，柑橘价格会下降吗？果农受益吗？,2020/8/14 23:14,柑桔之家,这20年来，我国的水果产量一直上升，水果的价格也一路飙升。,1
减产、降质、大小年，今年的柑橘价格走势如何？,2020/7/11 07:00,柑橘产业联盟,理由如下：小年或导致价格上涨柑橘具有明显的大小年现象，特别是对于技术不太成熟的果农来说，一年丰产一年减产的大小年现象更是明显。,1
减产、降质、大小年，今年的柑橘价格走势如何？,2020/7/11 07:00,柑橘产业联盟,以砂糖橘为例，去年种植面积达到历史新高，加上与其他晚熟柑橘的上市时间重叠，所以导致去年砂糖桔市场行情的低迷。,0
减产、降质、大小年，今年的柑橘价格走势如何？,2020/7/11 07:00,柑橘产业联盟,在主产区产量、品质均下降和今年水果价格整体走高的双重影响下，柑橘价格企稳回升几成定局，特别是对于早熟柑橘而言，今年会卖一个好价钱。,1
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,但在今年，平均收购价已经降到0.4元/斤。,0
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,就市场行情来看，除了双节期间橘子收购价冲破了1元/斤外，柑橘主体价格一直处于下跌趋势。,0
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,上个月金秋砂糖橘刚上市那会，客商抢着收货，价格更是开到了5元/斤的地头价。,1
